message,domain,id
what month does my credit card expire,credit_cards,c048570d-219c-4da9-9be6-c4f4e1d9e71a
please tell me if you are a bot,small_talk,e299a74a-e1ad-427c-a36a-9112ab2a8f98
could you share a joke,small_talk,7bc92269-2477-4e23-923d-45fc5fb3a2d3
i need a flight for under 300 from pittsburgh to atlanta,travel,da927e17-6f40-4f3d-876c-66de32a229cd
does the nsa listen to me,oos,207f2133-8ddf-47c6-81bc-f7e48decc67f
should i get shots if i'm going to go to thailand,travel,94019266-ccdb-472c-9012-651a5398e771
from april to may i will be in america so i need to notify my bank,travel,906a3785-7b76-467a-9a01-d138aae80fb8
i need to pay my water bill,banking,9c7f4891-f939-4e13-a971-ac82b37951ad
my card just got declined when i was in home depot buying tile,credit_cards,99f704d0-fa3e-487b-bcdc-4d0d933b2c84
is my phone in the house,utility,12286e86-5a7f-4b15-8dea-e0a1204009e2
what is my tax burden,work,7f423bb1-efcf-4e75-9939-ead4b5ee31aa
can you tell me delta's carry on policy,travel,07911bcc-433d-4f92-ba97-2b9511cf1c07
are there any reputable car rental places in seattle,travel,15af8999-a849-4e9f-ac39-c09e4cd7a108
help me find a hotel in columbus with good reviews,travel,64953000-aecf-4dd7-b018-ecc75f490eb7
i want to hear doctor jokes,small_talk,2fa1cf12-c591-49a6-a07f-80bab9d0e876
the next holiday is when,work,62487847-21cd-4846-9898-d049b52456b9
please book a car for me in bangkok,travel,af72172f-3de4-4821-b9dd-32295dfb243f
how do you prepare taco,kitchen_and_dining,88e5829f-eef2-4094-93c9-cbd1d329609b
"if you had to choose, cat or dog",small_talk,35b99ee0-3fe8-4b09-8786-feb0b1cafa45
when should i expect my replacement card,credit_cards,56973854-bc60-4c74-b98f-eaaa6753b803
"i need to make a reservation to long horn's, can i",kitchen_and_dining,fa53ce6c-43a1-4059-8e69-75ce9ed18daa
"i need a report form for my damaged, demagnetized card",credit_cards,06757609-8a99-4594-abc5-8d1a96af2003
i need an uber for 5 people to go to wendys,auto_and_commute,a324d3f9-a61c-4040-a20f-81e890aee531
don't call me anything besides bailey,meta,dc87ba61-63e0-4f81-93e4-6ffb404101be
how many liters are in 500 gallons,utility,2127941f-dab2-4e01-bd2a-fc89b4f2d768
i wanna add help! by the beatles to my playlist,home,ec806d83-d100-40b1-9c85-7be3a5541744
remove my todo list,home,09c23b8a-75f6-4b66-ac9e-a64224cb8e11
i cracked my card and need a replacement,credit_cards,75557b57-eb76-4a7f-ae3c-7f332f32ef4c
am i in need of an international visa to go to france,travel,eb597073-7e50-4e10-ae92-102675ac50a6
do the shower playlist please,home,d8525c04-8a4f-4268-9d95-dc76504a596f
i need what ingredients for meatloaf,kitchen_and_dining,7aed9ec1-fa07-4f98-b7ec-bf4c74bc37f2
is there any indication my application for a new credit card has been processed,credit_cards,41cb6552-237e-431d-952d-e11bfab2f71c
how much did i spend on groceries today,banking,b8ff169b-216d-4a11-ab99-609f76444add
pull up ways to lower credit score,credit_cards,45ee33d6-98f8-4e7f-bdfe-0b1be77e3744
i really need to check my rewards for my credit card,credit_cards,59913a11-3857-4a56-96a3-762f6a4627ff
how many harry potter books are there,oos,ff9fe4e4-6707-40a3-8126-4860c000dbc7
on may 12 to may 16 can i get a car from aiken,travel,3739e99b-a737-4035-b520-9960afff04dc
what do i have to do today,home,3b45a9bd-e860-4ab0-9f3c-1f6a365a9c3a
"no, that's wrong",meta,d997f7e2-69da-4ab3-be5a-2c8cd0193efc
how long does chicken curry last in the freezer before it's spoiled,kitchen_and_dining,9d0fdd1d-fc01-45a4-b4f4-bc7136150143
do i need a visa to spain,travel,ac5666b0-0fb5-444c-a24a-715c980334b7
search for chili recipes,kitchen_and_dining,1670cb69-262e-494b-8e59-ff383ea40c7f
approved,meta,41f0e5d3-ce63-4b24-a568-fb81570ea868
"is it possible for me to take a pto for two days, starting february 7",work,e2184ba8-31e5-4594-9dde-a02b5493d7c7
how can i become an aerospace engineer,oos,dbf64fca-3ee5-4d71-9b5b-be149f057084
tell me my payroll account balance,banking,931a6397-fe53-4445-afcf-2521cc71bce5
i need the details on my federal taxes,work,8a693a14-8f0e-4457-9cb2-af594ca6172f
do laundry,oos,b1b1b252-2db9-41b0-9edd-becfd86f6558
has my application for a new credit card been processed,credit_cards,8231ec10-fd2a-4498-9f5e-9ba0cc57d476
i need some ideas for a mexican meal,kitchen_and_dining,6e125052-f50f-47bc-8cb9-fe772979837b
get me articles on earthquake preparedness,oos,69faef54-bb3e-4e86-830d-6f307652e347
"my car is dead, what do i need to jump start it",auto_and_commute,49bf99f7-9112-4f28-8acf-d0aeffac8bf9
how much is the apr these days on my nordstrom credit card,credit_cards,e73441f9-d0e2-4ae9-8cf7-193adb804b90
"that ""baby shark, doo doo,"" song, i want to hear it",home,e6f5a553-b0e6-43ce-bc3f-a1f218e1dcc8
what team does eli mannign play for,oos,0a8651d8-41de-41b3-8889-2d3e9c19e8c4
is the packaged delivered already,home,84028b05-544f-48a6-a175-b1be27d052a1
can you find me a flight from denver international to new york international on the 4th for under 700 dollars,travel,9043af76-05ae-4d1e-a82d-54e8f2590a14
do you know any good jokes about lawyers,small_talk,8af5a834-f336-498f-91ed-eaea0163d84b
what is my limit on my visa card,credit_cards,c01c3d46-2e62-42ef-855d-5ac5bb3ae107
can i apply for a paypal master card,credit_cards,a9feadc3-fd44-4cf4-8949-a0b5be06d6f9
when will i arrive at hy-vee,auto_and_commute,c164caab-443d-449f-80b8-cd5f2ebf85d5
help me to book a car rental in sacremento,travel,5b3e5d01-a310-4f5c-95c5-56b929c50677
can i get new checks to replace the ones we ran out of,banking,ece42e6a-6413-4fa1-b63b-6d1da6ef45a9
how much did i spend on shcool due last year,banking,da08a52d-bdd8-481e-8cc6-e13e1091f941
what's the total pto i've used,work,7dcbd793-0ac7-4c0c-885f-ec127249382e
what are delta's carry-on restrictions,travel,ee2d3edf-986c-4ec3-9028-f75c9a74f4f4
i want you to order everything on my shopping list,home,48ae009b-58fd-4208-abdf-27121391ab79
can you please turn the volume to 4,meta,2abf67cf-2438-4986-88ae-9f4fa39faa77
what kinds of activities do you enjoy,small_talk,4274a3b4-2602-46be-976b-e783b294a7fd
please tell me a joke,small_talk,bc23ba64-23a4-4121-a66f-51efe7ddc2d8
text mom saying happy birthday,utility,3a696bc5-b34c-40b3-ac79-1aaad5281e97
i need to remove fishing from my calendar for soccer,home,06325bf8-56ff-48e7-b752-223bf203f656
i don't know where my luggage is,travel,a59bbe4d-1985-407c-8b27-6d5d8d26b37e
book a 6 person uber to the movies,auto_and_commute,afb11f9d-e430-4c8d-8023-a3ca90b56b71
what interest rate am i getting,banking,aa06671d-22e5-4a70-a5fe-73a3b49abe8f
i don't know how to spell anethesia,utility,a5aba7a7-9615-433c-aea5-2fc13d3ede50
how long will it take to get to tacoma,auto_and_commute,f63d55a0-3fa6-4f8a-9d43-561affe3b350
i have to say goodbye,small_talk,ced43499-d592-4d48-bf14-d448ca52507d
how much money did i make,work,9d85e185-42a5-420e-9243-0625e94c9cbe
where were you born,small_talk,f939dec1-627b-4b79-913a-4e9f4f99102c
is the limit on my visa card able to be increased,credit_cards,e50cf4eb-2ec0-4d52-ab7b-81141b178a5f
set up a direct deposit,work,03ff625c-ed43-431e-9963-adb5c471fd4a
please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold,kitchen_and_dining,61acf9be-d075-4f45-8e54-5f3092c5bc3e
whats a good chinese dinner suggestion,kitchen_and_dining,1353c863-73e8-44b6-bb86-5242360dbc9d
"i'm going to be in canada from october 23rd to november 2nd, so can i let my bank know",travel,4a663740-7340-4d4c-ab10-c836f023343a
why did my bank place a hold on my bank account,banking,6e79235a-8750-4dba-8c8b-6861edf65f4c
what marvel movie did mark ruffalo first appear in,oos,d08ad75b-012c-4e0d-b2c5-f5bb8c976677
i need you to cancel my reservation for 5 at red robin,kitchen_and_dining,0fa1f1f6-f331-47c4-9f9a-a495042d3658
what can i put on my bank of america card,credit_cards,b82f308c-d909-46e5-b67f-f9c6df393515
do you know how to change car oil,auto_and_commute,eb4acbee-a54f-4aa8-adb1-14b4fb09a9c7
any new restaurants near the mall,kitchen_and_dining,6590e47e-7d2c-47e0-8e51-27cedec4efb5
let me cash my credit rewards,credit_cards,bb912ad7-bae5-4e74-b38f-b3ed4b6c0522
is it acceptable to swap chicken for pork,kitchen_and_dining,1a17ec61-2fec-4d77-a1c6-32d06bc328b2
how many ounces in a cup,utility,1b78942c-81b7-4d3c-9559-0a71c80ff444
how do i ask for a limit increase on my discover card,credit_cards,2c243bcf-2dac-410f-87a8-405857ccea0e
"i need to report fraudulent activity on my visa card, please",banking,b6552c0b-c2f1-4bcd-ac32-2ba3e680ae91
where should i go for good thai food in las vegas,kitchen_and_dining,fbc79e0e-7160-48db-b24f-1b61fa68447b
wake me up at noon tomorrow,utility,304b987d-cd88-4b94-bcca-abce56c94fc0
i saw a fraudulent transaction,banking,bb82b0fb-db9e-4cdc-806e-4633e561e70f
"in the mst time zone, what time is it right now",utility,a7d50abc-094d-445e-b049-f920ef98cd16
what's the spanish word for dog,travel,145677b9-d049-4990-9873-5d44398bf4c4
why is there fake news,oos,d4e789b3-5be7-45e0-9eb9-b3cb7245209c
i want to hear my reminder list,home,e4ffd025-1898-4b60-820c-8ebcf1643581
will i need a socket converter when i go to france,travel,c27c65c2-3008-4c4c-8bff-1f55db1a2073
can you give me a status update on my online order from amazon,home,d96b8c1e-2bc8-4707-a327-834279274a26
how do i apply for new insurance,work,93431bb2-765e-48d2-9c2c-a04cea1d5a7e
what's the best type of plan to upgrade to,oos,06c03be9-0802-4cac-a821-01b238b5c103
what time is it getting to be,utility,e18e94dd-acab-4d5f-987b-8cb152c72ec4
"i bent my card, can you report it to my bank",credit_cards,9a1e98f7-3556-4e5d-8dfd-20c15dc270b9
when would be a wise time to replace my tires,auto_and_commute,a470c26f-a263-455c-af8a-b16c5ab2d12a
can i swap yogurt for sour cream,kitchen_and_dining,bba5b750-9a5d-46d8-adef-b878835588fc
i want to use my credit rewards now,credit_cards,4e07c119-b6de-4e60-a9ec-2dcf0fe12cbd
what will the low temperatures be over the weekend,utility,7f9f3c0b-d415-498e-a733-b2c3474c9ddc
what do i do to rollover my 401k,work,661a7c8c-6af6-4029-9b00-9507577be028
"if you were getting a pet, would you get a cat or would you get a dog",small_talk,914c10ce-ac73-450b-a123-d7270064f862
it was good to talk to you today,small_talk,8502da97-4df2-475c-9749-dba98f624770
i'd like to know your name,small_talk,253f37f0-7b68-45e4-86af-c22e0694a871
inform my bank i'm seeing italy,travel,f75ca2ac-2809-4392-96ee-8d3b26d49dd2
hows my credit score,credit_cards,b9e845e1-45e0-4db4-95a4-68de665c0005
i would appreciate it if you put a stop on my bank account,banking,425b48c4-2321-44d3-bc80-cb86d1e986af
make me a reservation for 5 people at village tavern for the calloways,kitchen_and_dining,b02b3df8-5e91-440e-92be-3844f3c29723
why would the bank have frozen my account,banking,d0ca617b-16df-470c-bad9-89ab214d8261
what is status of my bank account,banking,201e086c-ba45-451e-b25a-4c3f7d6ea258
on the speaker what song is playing,home,9fd2405f-a3a4-4d27-acfb-f4233c977c3f
alter the name given to the ai,meta,6c2ae98f-1695-4a85-9610-284d7cdd5ac1
who gave you life,small_talk,b87110e1-7933-428a-b843-9d85987cba3e
"now, i want you to play the next song",home,0e9dae92-2fe6-4a3e-9706-5c539845c2ba
what is the minimum i can pay for the gas bill,banking,68b94639-e44a-442c-b8a5-d5fe4687a794
could you tell me what my checking account balance is,banking,17412603-d566-4368-86d9-47e5074bdce5
use my phone to dial work,utility,1f220221-ca91-49b9-b6ce-aaad9d226442
how do i say dinner in spanish,travel,98753097-7807-4da6-a62e-63e438b3a3fb
convert krugerrands to saudi riyal,travel,35b74436-1d16-404c-913d-23e731886440
what time is it in the pacific timezone,utility,17aadefa-eeab-4ba8-9671-c3274d644731
how is the weather,utility,74363c50-10ec-4723-a6f1-2bf316270df2
i would like to know when you were born,small_talk,95f5cbe0-3783-4497-a604-0bed71a82d35
do a virtual coin flip and tell me if i win as tails,utility,97df4399-84a7-4ef0-b9f8-e071bc3c15ca
make an alarm for me,utility,ee08a6c4-f81d-4055-a908-f27ea8d4dc56
what's your name anyway,small_talk,b7fc1541-0f65-407b-93c7-6a87654e76a3
what is seventeen plus three,utility,04c9ebf2-747e-4a56-a8c2-90c18fd88f37
what date was my oil last changed,auto_and_commute,a14c82d5-a4a0-47f8-8dda-3a41c6ffdd9d
how do i speed up the speech of this ai,meta,2b89be5b-1829-48e2-822f-3dac615ce106
tell me this songs name,home,111a9d58-d59c-44a9-aa26-8ceb51c188a1
show me a list of top rated airlines,oos,56fb2ca2-ffb2-4679-93af-10c04198de4f
tell me what the word arboreal means,utility,251576d7-3e67-482d-890e-de15f2a8b675
please tell me all the transactions i've made recently,banking,00cacc24-df27-44d9-8fa9-666da558a1fb
how long should i cook a ny steak,kitchen_and_dining,3846e8b0-1737-45b4-bf32-67743c5c6616
"for my westport account, what is the routing number",banking,814132eb-f35b-4423-806d-e492d4fa759c
where is the closest target,auto_and_commute,a106e08b-e7cd-4b8b-b581-673c83981ecc
set up two alarms one for 10am and another for 2pm,utility,24275da1-d278-4fbf-b2f5-d9de302f6762
can you instruct me on how to rollover my 401k,work,79212916-fabe-40d6-b671-f3e146afa6f9
i want to hear you tell a joke,small_talk,7d78b424-4157-46c2-8efb-64873ffa8dfe
can you check if my credit card application has been processed,credit_cards,e162aed7-9e12-4252-8be6-1e341373bd1c
my next payday,work,19232061-1aa1-4719-9282-3003718e871c
who do you report to for your work,small_talk,d1790a4f-3a33-46f8-ad8b-b715dbcab52a
i will say yes as my response,meta,ec0779fc-650c-4722-8e40-0b24280d8daf
"what time is it in houston, tx",utility,19ea1733-9504-4558-aa26-1def29cb7b1e
for what reason did my card get declined,credit_cards,5446fe83-6fd3-44ef-9d6e-100c3d51ad13
i want to hear my name,meta,132be8f9-2720-49c6-8e98-06b73d665f6b
flip a coin; i say tails,utility,d968b787-ff5b-4f3b-ab54-69119990a3d2
there's a false charge on my account from mcdonald's,banking,05837878-ec90-4534-8054-445a025befc6
report to the company that i damaged my card,credit_cards,6b8d50bf-96c5-4eac-8fa7-54acacd84501
please tell me the types of pets you have,small_talk,7a9c231a-3ad0-421b-b835-4f81735e0aa2
"siri, book a car rental to the poconos today right now",travel,9024a001-a69b-44c3-baee-2baba8662a07
what are the rules for traveling with toothpaste,travel,0588cc31-12c2-4e9d-bdd9-d81a6bb3d3b6
who else commands you,small_talk,04ccf203-8917-4a79-ba72-254d526fa1b7
explain my health benefits,work,d69428a4-e262-4994-90da-c4d621b0ba56
what can i do if i lost my luggage,travel,82e89eb9-e8c8-4f69-9711-71cd60412a2a
can you remind me what i put on my shopping list,home,389690cd-b761-4f27-b97e-d52e884a9454
what is today's high temperature predicted to be,utility,e9b0c057-f571-421b-b90e-878b767331c6
what is the current weather like,utility,cbac0375-8888-4a7a-8af9-5970d2a83d4b
i'm going to the mall at 5:00 what will traffic be like,auto_and_commute,019310cf-8a3e-4c1b-8a85-58817cb5ad76
my visa card was stolen,credit_cards,078fa26d-731e-47d7-b921-d82e6b4feec5
please alert my bank i'm going to be in the caymans from may 1st to june 2nd,travel,1b0bdf45-395a-419a-a73c-8192669b480f
would you say that you are human or copmuter,small_talk,96658bc2-796c-4bcf-8d95-9b3061b4f943
yes that is right,meta,4862b375-64bc-491a-845a-a0d82533fff5
"are eggs on my list, if not add them",home,d07ffd52-0915-4941-8eef-b6c444b054d3
what's the nutrition info for a cucumber,kitchen_and_dining,d5ef480b-b036-4590-9df6-b8f30c3b1e0c
i need to know how to get my car jump started,auto_and_commute,1377540b-0d62-42e7-a288-d27d9a5060b1
i want to reserve an uber to go to the airport,auto_and_commute,70e52ec4-d52b-4025-8f31-ed572c720980
add grocery shopping to my to do list,home,ac0f3816-02f8-4507-a515-cd38f3bd52d5
how long is an oil change good for,auto_and_commute,e3248b56-f648-4124-b618-50f5878244f1
what is the status of my application for the credit card,credit_cards,5b451a3d-ff0f-440d-aa3d-515ba06985ab
how many a's can you find in the word happiness,utility,a8eee300-6771-4de1-acb0-15bee2b91090
thanks for that!,small_talk,eb3e6be3-70ea-45c0-9ce3-fe3df81bc24b
when will my new visa get here,credit_cards,5f8c97b6-547c-4e5e-b5f6-5a0ebdb71b79
what is one fun fact,small_talk,ba07f26d-4f50-450c-b832-595feb398145
do i have brush my teeth on my todo list,home,ad4a8728-2439-4a4a-acfb-8252c3e885cc
tell me how to convert grams into ounces,utility,9c4a2e85-9e60-4590-9029-fc59791128bf
what is the credit card's apr,credit_cards,da3693be-cb28-41e8-bafa-a891c421e121
what kinds of cereal are gluten free,oos,7c014c7f-16e3-43ca-9682-4e0f43710240
what kind of gas should i put into this car,auto_and_commute,42516ba6-e7e8-44cd-9ef5-f97e5a502772
when will my cc application process,credit_cards,44c874d1-8775-4f8a-89f9-0a0f2ee2280c
what is phosphorus on the periodic table,oos,a70ff428-61ed-499b-a134-26a4380e104e
you can disconnect from my phone now,meta,de35af93-fc1e-49f1-8433-2b84227beb6a
please double check on my reservations for buffalo wild wings at five for the game,kitchen_and_dining,14347fee-d4a6-44f8-bd71-2be1c44df309
can my grace period be extended any possible way,oos,7f7a3363-88ea-4889-8561-b124dd5cd16d
what is life all about,small_talk,4fb12869-0c0c-4129-863b-d825185a1074
please put silverware on my list for shopping,home,5554166c-531a-4c8e-ba8f-70ad5986052e
when is it right now,utility,76c24807-3b86-47a9-94d2-0ad555d16eaa
can you help me figure out how to utilize my credit card points,credit_cards,ec0dad58-67ea-4cdc-b792-24b2ce9fe401
"i need a w2 form, how do i get one",work,f0502667-cb05-46ec-9bd6-3b0f1f5742b1
have you heard how the enchiladas are at jose's taco shop,kitchen_and_dining,febcbe96-0c02-43f4-b4d1-53f46f76dd9a
what steps can i take to improve my credit score,credit_cards,91027d80-1814-4852-81d3-9d36fe248f10
can you tell me what i earned,work,68747f5d-e7f3-4e64-bc8a-3f5374079000
who made you up,small_talk,dd82791a-758e-49f6-842c-b36e4c0e1350
i need to make a transfer of my money,banking,04876382-9851-45ec-886d-ff1480486283
what do you call someone who was born in segovia,oos,8cbc3c2d-6f98-4b63-989e-0cc9456f8dff
can you use the whisper voice,meta,d34477e0-615a-4c99-a07f-0d7edbf226f0
i must add farm trip to my calendar for friday,home,87db1fd9-ec0c-483a-9c8b-2c1d5aa3e3b6
tell me who gives the best motivational speeches on the web,oos,94f8b307-d065-4cdd-8427-890bd8cd4827
what's the credit limit on my account,credit_cards,59f67b04-cee1-4461-b85d-69532d6c9e8f
is taking out the trash on my to do list,home,9283f33e-0a7a-4956-a50c-42adce32b476
do you work for another person,small_talk,8a751a68-95af-48c3-bd32-d7e79ade9b49
how long would i have to wait if i want to go to golden corral,kitchen_and_dining,79e4efb8-3e3c-4776-8f32-e45e810362e6
how long has it been since my car was last in the shop,auto_and_commute,44b07aa4-208e-465f-af99-846d02093837
tell john and sam where i am,utility,fd936694-1ba5-4155-ab3d-c2748e901049
clear my calendar on feb 28,home,ed4ed19e-f4ed-4953-9f5b-7ee1029f10ab
let me know what today's date is,utility,f2b1d060-8010-4034-9929-1b598afe6d3c
tata for now,small_talk,d1e5fa60-ab88-43b0-854a-d94db789fe6d
is there a way to increase the limit of my credit to 5000 dollars,credit_cards,82d6e4c8-1003-4da4-b2dc-4b5dbda5ecc3
add what i am listening to to my road trip playlist,home,011f2784-5a9c-4317-bd23-89774d7595ee
i am in need of my w2 for tax reasons; provide me where to get it,work,5bf2eed0-9ebe-48fd-8e4b-b4097e112963
remove the connection to my phone,meta,74630412-95a1-4a81-9aea-f5cbb089a93b
can you tell me some of your hobbies,small_talk,5f370bbc-9747-4a5f-ad50-9f3e2a00a991
i want you to help me make a decision by flipping a coin,utility,a2674e2d-1704-4c8b-b58e-6d52e13cd042
how much are my electric and heating bills,banking,7429e3ee-f0b1-4266-83c6-b19337bd2c94
what is your full name,small_talk,f43cc842-a3f0-45ee-9bd3-0e3f02eacbb2
can you tell me about the pets you have,small_talk,5df1e11c-1dc6-4cfc-a111-cfaae8e16890
"i believe that my car battery has died, what do i do next",auto_and_commute,a6a2e2be-cde6-4755-b947-15eaf2f802f6
let me know how much gas i have in total,auto_and_commute,2acff2ae-c4ab-463e-85a4-8d07b12221a6
what's the cost of a good pegboard,oos,32d4ca05-c030-4c66-94d9-9c49475dc371
how long before i'm on e,auto_and_commute,ed4afb90-3789-4863-82db-97a6b8bf2e0a
why did my bank account freeze,banking,49ceab80-0b6e-4205-9c22-d25f1388e357
do i have to be at any meetings today,work,69addb11-bb04-4023-9555-3a2af93b147a
i want to apply for a mastercard,credit_cards,abebe48c-a4fb-45c8-beaf-8f076e3ef329
tell me the status of my tires and when i need to replace them,auto_and_commute,607c1837-589e-4305-a14d-657b73cec5a0
please remove your connection to my phone,meta,8af2b7a2-07ab-4249-9bc5-f412be5f1801
what is the amount of time i can request off in the coming year,work,a6d132fb-b07e-4fa7-9fc7-b9f6d0167a98
what do you need to make general tsao's chicken,kitchen_and_dining,8e9fb4e7-ed2b-4f06-aa54-f6f87124eb17
how much air is in my tires,auto_and_commute,40f7e6e8-a58b-49de-90a2-6d71034631e7
i need to transfer from this account to that one,banking,d6f0e6ea-6561-4a86-b690-be1b62b111cf
what's the wait period until the next day off,work,519a3c25-d960-4e2d-b525-e01237883742
flip a fair coin i win if it's tails,utility,e1339869-ae75-4667-95fd-0fe60e7a986d
is new caledonia safer than other countries,travel,4bb18a1f-0bce-4869-b1b5-4e060a6dee05
how busy is jiro at 12 lunch time,kitchen_and_dining,a64bc32f-c1df-4d75-b8c6-2ce10b657833
on what day and date of what year were you born,small_talk,ce072d32-322a-4cf9-82c8-06d403e8cf06
how long is the chicken gonna take,kitchen_and_dining,bf6b9a63-8f64-4175-9e60-725cdb14d6f2
i wanna know the limit on my credit card,credit_cards,bb6e5d28-b5b0-4798-b471-c385a7547982
i'd like to book the next availability for an oil change,auto_and_commute,a253122d-5c17-463c-9e6f-58e85ffe5628
do you know any fun facts about the ocean,small_talk,d5668f27-377a-4664-a96a-ae3efdb0440c
is my gas tank full or empty,auto_and_commute,72c819f5-e723-464a-8e4f-2e86a3bac28d
what are the shots i need in order to travel to mexico,travel,59d2ef83-611a-48b5-8ab5-9f3dc5d51414
what location did you originate at,small_talk,9a437b6f-a34c-4985-86a7-e055d85ce577
not at all,meta,491b99a5-0cd1-42d3-b349-10c7b7b18f4d
could you tell me how much money i spent last week,banking,1f61891c-7c07-4499-91b4-ead3dacd547b
report the card has been damaged,credit_cards,5bf20ac1-4cb9-4d24-984e-d5f656580e8c
i need you to flip a coin,utility,b4ca4d01-fa24-4be8-aff5-db7464bd3d58
let me know what my interest rate is,banking,26e141b1-fb3c-49c5-9e70-12a9462a4d51
what is the number of calories in a steak,kitchen_and_dining,e19e4048-505e-4ac5-8908-03c5f403a9bc
stop what you're doing,meta,a4654b76-2302-42c0-b05e-f9c0864fac0b
how would i say nice to meet you if i were russian,travel,69b50a77-56bf-499b-9ff6-9b61ec43d381
please tell me how to spell the word coup,utility,d3a443d5-9b29-4de6-8274-10086031d80e
my check engine light is on and i need someone to look at it,auto_and_commute,d37bd663-e067-4dab-80f9-05a6a3201cb1
there is no need to confirm my reservation,kitchen_and_dining,faf39412-3e6c-40b1-a5a9-702ae23f30b6
please connect to my phone,meta,c8646b38-3552-4009-82db-c17d0eb53871
tell me what time zone portugal uses,travel,0c257cae-1b58-4df8-a6af-2623567e0b69
which type of pets do you have,small_talk,847e1648-2469-4ba2-850e-3e7efb9091c9
can you look up grocery coupons for me,oos,7b854282-8a92-423f-a84e-206c8ed5821f
tell me how health chocolate is,kitchen_and_dining,0b5cda13-0bcc-44be-8021-1568c47b0938
what types of furry companions do you have,small_talk,d95c86cf-fc86-4f8f-9045-b2a7da258ec6
book a reservation for 6 at shakey's under the name jason,kitchen_and_dining,3f4676ff-8869-43b0-8745-dd1dac609e7b
please change your accent the male british one,meta,668bab6a-b8d0-40ec-b7a6-c841c0d5c312
why am i seeing a hold on my boa account,banking,12d4e585-ace5-40c5-9201-db87bd8a1614
my card is lost what do i do,credit_cards,0066fe74-9599-4853-afbc-8bf4628050fe
can i swap chili for sloppy joe mix in the recipe,kitchen_and_dining,d0ec07c3-4e72-43ad-a4b5-63dd582691a6
i want to change my bank of america account pin number,banking,199eea6c-32ca-49f2-a37d-458fc311d087
roughly how long can i leave bananas in the freezer before i have to throw them out,kitchen_and_dining,8cf62399-e5dd-478b-8908-8bf4d908b4e3
"go ahead and erase cashews from my list, and add walnuts to it, please",home,f31c54e8-bb41-4487-be74-fc2ad8ac82a2
how do i check my rewards for my old navy card,credit_cards,bbdacb4b-0d16-4415-ac7d-d79c93201d39
can you link to my phone,meta,0b7cb76c-e6e8-4c41-ab9a-ce63053557e1
what can you see on my shopping list,home,85d6cf18-95de-4ae9-88a0-380d7144c488
is there traffic right now on my route to work,auto_and_commute,eaadf4e2-5795-479b-96c6-e48f049af1c5
tell me how long until the next day off,work,71e9a31d-e484-4ed9-aa03-30bdb81193fa
what is the price of bluetooth speakers on amazon,home,52147e10-59d2-45ad-b7e0-87d8d6594b59
show what i have spent things on,banking,572c701f-1d77-4107-805a-077e299df530
i need a recent transaction looked into,banking,3b57dbfe-5c11-4a04-9244-8d53e65a034f
"the magnetic strip on my card is scratched, let the card company know",credit_cards,2faece3c-eccb-45be-8cf8-fbefcc224d47
